,Name,E,Q,Sprint,Glider,Chest,LowHP,AllyLowHP,LightHit,HeavyHit,Fallen,Joining
46,Tighnari,"Elemental Skill
One with the forest.

Enshroud!

Can't see?","Elemental Burst
I'll uproot you!

Let's nip that in the bud!

I hear everything!","Sprint Start
Keep up.","Opening Treasure Chest
Why is there a chest here?

Erm... I think we can forgo the lost-and-found report.

*sniff* Smells like something good is inside.","Low HP
Ugh, what a drag.

My tail's all messed up...

Time to pull some weeds.","Ally at Low HP
Go get yourself patched up.

Safety first.",,"Light Hit Taken
Excuse me?

Who do you think you are?","Heavy Hit Taken
One thing after another!

I'll bury you.","Fallen
Dust... to dust...

I'm not finished... my research...

Flowers haven't bloomed yet...","Joining Party
I'll lead the way.

*sigh*... Who ate a poisonous mushroom this time?

Let's go gather some samples!"
47,Venti,"Elemental Skill
Yoo-Hoo!

Here we go!

Brace yourselves!

Let's play!","Elemental Burst
Think you can get away?

Time for takeoff!","Sprint Start
Wouldn't gliding be faster?","Deploying Wind Glider
Yahoo!","Opening Treasure Chest
*clears throat* Have you ever heard The Ballad of the Treasure Chest?

Thank Barbatos! Wait a minute...

What a find! I wonder how many bottles this'll be worth...","Low HP
Ugh, I'm not in the mood for this!

Hey! Lay off!

That was uncalled for.",,"Light Hit Taken
Ah!","Heavy Hit Taken
How rude!","Fallen
Let me sleep a while...

Oh no, my lyre is broken...

Ah... Ugh...","Joining Party
Give me a moment to compose myself.

Didn't keep you waiting, did I?

Ready for a rehearsal?"
48,Xiangling,"Elemental Skill
Guoba, get them!

Nice and spicy!

Out of the frying pan, into the fire!","Elemental Burst
Hey... Yah!

You're toast!

Eat this!","Sprint Start
Race you!

Now I've got stomach cramps...",,"Opening Treasure Chest
Open sesame! Oh, now I'm hungry...

What a bountiful harvest!

None of this will go to waste!","Low HP
No ingredients for me today...

Ow! Oh...

Now I'm really in a pickle!",,"Light Hit Taken
Don't hit me...","Heavy Hit Taken
Help! My dinner is attacking me!

That really hurt!","Fallen
Dinner's gonna burn...

Water...

No... Did I ruin everything?","Joining Party
I'll bring my seasonings!

Just sharpened my spear!

I can't wait any longer!"
49,Xiao,"Elemental Skill
Hmph.

Boring.

Useless.

Here!

Worthless!","Elemental Burst
Disappear!

Evil conquering!

Lament!",,,"Opening Treasure Chest
If it's useful, I'll take it.

Why would anyone want... *sigh* Forget it, it's not my concern.

Hmph... there's quality here.","Low HP
Shut it.

Prepare to die, fool!

*grunts* Good.",,"Light Hit Taken
That's it?","Heavy Hit Taken
Ugh, get out of my way!","Fallen
Is this... retribution?

The day... has finally come.

Impossible...","Joining Party
You called?

Evil shall be dispersed.

Conquering demons is what I do."
50,Xingqiu,"Elemental Skill
Rain outlines your fate!

Ha... Hmph!

Know my sword!","Elemental Burst
Witness the power of Guhua!

Let me weave you a verse.

Raincutter!","Sprint Start
Body and mind.

Time to act.",,"Opening Treasure Chest
Excellent.

Treasure-hunting... A valiant endeavor.

I hope we find long-lost ancient literature.","Low HP
Change of plans...

I can no longer hold back.

May my final stand be a monument to chivalry.",,"Light Hit Taken
A minor setback.","Heavy Hit Taken
I let my guard down.

Not good...","Fallen
I have taught you... everything... I know...

The brightest flames... burn fastest...

I am outplayed...","Joining Party
May knowledge guide you.

Chivalry will never die.

For justice."
51,Xinyan,"Elemental Skill
Feel the beat!

Power chord!

Pyrotechnics!","Elemental Burst
Time to rock!

Shred 'til I'm dead!

Amp it up!",,,"Opening Treasure Chest
Time to celebrate! Ready? 1, 2, 3, 4...

This rocks!

Woohoo! Let me hear ya!","Low HP
That was jus' the intro...

Alright, that sounded kinda bad.

I'm used to this much.",,"Light Hit Taken
Tch! Not cool.","Heavy Hit Taken
Hey! Not the guitar!","Fallen
The beat's all... messed up.

Didn't make it... to the chorus...

Went... out of tune...","Joining Party
I'm takin' the stage!

Aw yeah, rock on!

Let's jam!"
52,Yae Miko,"Elemental Skill
Right here.

Right now.

Emerge!
Come on out.
Show them.","Elemental Burst
I'm always watching.

Nothing lasts forever.

A sight to behold.",,,"Opening Treasure Chest
Well, what do we have here?

Don't tell me that's everything...

Go on. Open it up, show me what's inside.","Low HP
That's quite enough.

Ugh, no more games.

Now, you've got my attention.",,"Light Hit Taken
Is that all?","Heavy Hit Taken
What a nuisance.","Fallen
The fun's over...

What a dreadful ending...

So much for ""eternity""...","Joining Party
Whatever would you do without me?

Alright, amuse me.

Well, since you asked so nicely…"
53,Yanfei,"Elemental Skill
Boom boom!

Incinerate!

Motion to compel!","Elemental Burst
Time for your arraignment!

Wrath of the Flame!

Inadmissible evidence!",,,"Opening Treasure Chest
Ooh, we can definitely write this off as ""incidental gains.""

Remarkable condition!

Huh, let's appraise the value on this...","Low HP
Objection!

Keep within the law...

But my defense was watertight...",,,"Heavy Hit Taken
Ugh...","Fallen
It's a... hung jury...

The law... has loopholes...

I... object...","Joining Party
Next time, be sure to make a proper appointment.

I charge a higher rate to meet outside the office.

Ready for trial."
54,Yelan,"Elemental Skill
Busted.

Gotcha.

Quietly now.","Elemental Burst
Game's up, fun's over!

Here comes the catch.

Things are about to get dicey.","Sprint Start
Take it easy.",,"Opening Treasure Chest
Easy money.

Treasure... one way to draw your target out of hiding.

A chest full of valuables... and a trove of potential clues.","Low HP
What a drag...

Winging it wasn't the best idea...

I didn't factor this in...",,"Light Hit Taken
Gutsy.","Heavy Hit Taken
No...","Fallen
What are... the odds?

How was I... so wrong...

But the truth... is still unknown...","Joining Party
Who's our target this time?

It's time to pull the trigger.

Let's go get ourselves some answers."
55,Yoimiya,"Elemental Skill
Time for a light show!

The fuse is lit!

Fire hazard~","Elemental Burst
A festive reprise!

Goldfish of doom!

Here come the fireworks!",,"Deploying Wind Glider
Up, up, and away!","Opening Treasure Chest
Ooh! Will we find any firework materials in here?

What do we have here?

Ooh, let me open it!","Low HP
Uh-oh, uh-oh!

Oh, that hurt...

Gotta watch it...",,"Light Hit Taken
Lighter, please!","Heavy Hit Taken
That didn't count!","Fallen
Burned... too... brightly...

Ohh... fizzled out...

The festival... ends.","Joining Party
Are you going to hold a festival?

Let's go out and play!

More companions. Hooray!"
56,Yun Jin,"Elemental Skill
And step!

And leap!

Flags up!

Flags fly!

Observe!","Elemental Burst
Break a leg!

Strike as one!

Your grand finale!",,,"Opening Treasure Chest
The troupe appreciates any donation.

Hmm... Anything the troupe could use on our journey?

No need to stand on ceremony. I'll just take this.","Low HP
Oof, watch the costume!

Ugh, the curtain's not down yet...

This script needs a rewrite...",,"Light Hit Taken
Stay in character...","Heavy Hit Taken
How embarrassing...

This isn't stage fighting...","Fallen
Thank you... And goodnight...

A true tragedy...

The show... Must go on...","Joining Party
(Translated) Ahem! Oh, Maestro!

Hmm, which opera shall we perform today?

Let's get this show on the road!"
57,Zhongli,"Elemental Skill
Rise!

Quake!

Crumble!

Gather.

Stabilize.

Solidify.","Elemental Burst
Order guide you.

This is order.

I will have order!",,,"Opening Treasure Chest
One man's stone is another man's gem...

Unsolicited... and all the more valuable for it.

Certainly worth the extra mile.","Low HP
I see your power.

Ha, this is getting interesting.

Emergency countermeasures aren't my thing.",,,"Heavy Hit Taken
Careless...

Nothing to fear.","Fallen
Ugh... I'm feeling a little... off...

You shouldn't see me like this...

Even bedrock can be turned to dust...","Joining Party
Sure.

A walk would be nice.

What shall we do?"
